Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population density (people per sq. km of land area),EN.POP.DNST,United Arab Emirates,ARE,26.75515348,46.11845959,122.0074486,123.2307378,124.4149676,125.5547592,126.6440862,127.6865108,128.6985215,129.7051112,130.7700507,..
Population density (people per sq. km of land area),EN.POP.DNST,United Kingdom,GBR,236.6287191,243.4279089,263.3001901,265.0695366,267.0288844,269.1531393,271.2007316,273.049473,274.7089819,276.2630802,277.2744182,..
Population density (people per sq. km of land area),EN.POP.DNST,United States,USA,27.25451361,30.79730133,34.31324483,34.55181319,34.8061343,35.06332868,35.31834714,35.54249482,35.73009646,35.89317567,36.23984468,..
Population density (people per sq. km of land area),EN.POP.DNST,Uruguay,URY,17.80946178,18.81055879,19.26141584,19.31882071,19.378711,19.44245229,19.50500514,19.55319392,19.58085933,19.58866987,19.592538,..
Population density (people per sq. km of land area),EN.POP.DNST,Uzbekistan,UZB,48.21344617,56.54215361,68.32147774,69.39872278,70.57934,71.03699501,72.28449968,73.51221549,74.80043669,76.22283256,77.68535119,..
Population density (people per sq. km of land area),EN.POP.DNST,Vanuatu,VUT,12.37752256,15.75668581,21.10853158,21.61886792,22.14331419,22.67744053,23.23363413,23.80959803,24.38867925,24.97161608,25.56890894,..
Population density (people per sq. km of land area),EN.POP.DNST,"Venezuela, RB",VEN,22.39167734,27.6942679,33.41128734,33.82803809,34.2307783,34.61222833,34.85229182,34.65045406,33.81401621,32.84585114,32.30026983,..
Population density (people per sq. km of land area),EN.POP.DNST,Vietnam,VNM,205.5750192,253.9739664,284.8917906,288.3885786,291.1421414,294.1812351,297.1614298,300.0387616,302.825616,305.5770717,308.3591021,..
Population density (people per sq. km of land area),EN.POP.DNST,Virgin Islands (U.S.),VIR,297.0371429,310.4057143,309.1085714,308.6885714,308.2342857,307.7485714,307.1885714,306.5171429,305.7171429,304.7685714,303.6857143,..
Population density (people per sq. km of land area),EN.POP.DNST,West Bank and Gaza,PSE,328.6126246,485.4074751,661.1292359,677.1940199,693.2554817,709.317608,725.4299003,740.0008306,758.9845515,778.2900332,797.8852159,..
Population density (people per sq. km of land area),EN.POP.DNST,"Yemen, Rep.",YEM,25.33310794,35.28363354,49.66833532,51.10896831,52.56606247,54.0116768,55.44633597,56.88654469,58.31867909,59.75091577,61.1475008,..
Population density (people per sq. km of land area),EN.POP.DNST,Zambia,ZMB,10.33966155,13.30544667,19.83435074,20.49392109,21.17030495,21.85693916,22.55580651,23.26915078,23.99264585,24.72521422,25.46135272,..
Population density (people per sq. km of land area),EN.POP.DNST,Zimbabwe,ZWE,26.14422386,30.59241566,34.29063203,35.04051183,35.81686183,36.59024687,37.35996898,38.13131963,38.90961355,39.69137392,40.50579294,..
Population density (people per sq. km of land area),EN.POP.DNST,Africa Eastern and Southern,AFE,21.2667401,27.56047962,37.21955685,38.2544165,39.31609746,40.41781925,41.52046001,42.62314177,43.76896614,44.94681121,46.15069209,..
Population density (people per sq. km of land area),EN.POP.DNST,Africa Western and Central,AFW,22.85474818,29.80526809,41.65456146,42.80499338,43.98244342,45.18022492,46.40599086,47.66186045,48.93406926,50.22298387,51.53667929,..
Population density (people per sq. km of land area),EN.POP.DNST,Arab World,ARB,16.59808281,21.09006628,29.03505953,29.70324997,30.37458933,31.02943629,31.684061,32.33951901,33.01741807,33.6984203,34.29079926,..
Population density (people per sq. km of land area),EN.POP.DNST,Caribbean small states,CSS,14.96316166,16.25822156,17.51017908,17.62599481,17.7375423,17.84513277,17.94558972,18.04034581,18.21575892,18.33790787,18.38895393,..
Population density (people per sq. km of land area),EN.POP.DNST,Central Europe and the Baltics,CEB,100.2329967,98.14558055,94.14015704,93.84889342,93.59047006,93.37544026,93.13795402,92.96902425,92.78931855,92.66895471,92.47028789,..
